important	2025-08-03 21:43:50_761	打开日志文件[/home/sunrise/xgo_demo/install/xgo_head/lib/xgo_head/log/log.txt], 级别为1:debug, 超过10485760字节将重建文件。
info	2025-08-03 21:43:50_762	version 20250801_1611
debug	2025-08-03 21:43:51_157	before battery init.
debug	2025-08-03 21:43:51_182	after battery init.
debug	2025-08-03 21:43:51_226	++++++++++ ROS2 Node init finished.
debug	2025-08-03 21:43:51_227	++++++++++ gpioKey init finished.
debug	2025-08-03 21:43:51_227	open spi
info	2025-08-03 21:43:51_227	open spi device: /dev/spidev1.0,  get fd: 29.
info	2025-08-03 21:43:51_227	set SPI_IOC_WR_MAX_SPEED_HZ of 29 to 20000000
info	2025-08-03 21:43:51_227	set SPI_IOC_WR_MODE32 of 29 to 0
info	2025-08-03 21:43:51_227	set SPI_IOC_WR_BITS_PER_WORD of 29 to 8
info	2025-08-03 21:43:51_227	read SPI_IOC_RD_MAX_SPEED_HZ of 29 to 20000000
debug	2025-08-03 21:43:51_228	read spi speed:20000000
info	2025-08-03 21:43:51_228	read SPI_IOC_RD_MODE32 of 29 to 0
debug	2025-08-03 21:43:51_228	read spi mode:0
info	2025-08-03 21:43:51_228	read SPI_IOC_RD_BITS_PER_WORD of 29 to 8
debug	2025-08-03 21:43:51_228	read spi bits per word:8
debug	2025-08-03 21:43:51_228	open reset
debug	2025-08-03 21:43:51_228	open dc
info	2025-08-03 21:43:51_728	opened gpio port 27 to read mode.
debug	2025-08-03 21:43:51_729	set gpio [reset] direction to out
info	2025-08-03 21:43:51_728	opened gpio port 12 to read mode.
debug	2025-08-03 21:43:51_729	set gpio [dc] direction to out
debug	2025-08-03 21:43:51_729	spi screen init start.
debug	2025-08-03 21:43:51_729	spi screen reset start.
debug	2025-08-03 21:43:51_729	GPIO port 13 set to 1, result 0
info	2025-08-03 21:43:51_728	opened gpio port 30 to read mode.
info	2025-08-03 21:43:51_733	opened gpio port 22 to read mode.
debug	2025-08-03 21:43:51_749	GPIO port 13 set to 0, result 0
debug	2025-08-03 21:43:51_770	GPIO port 13 set to 1, result 0
debug	2025-08-03 21:43:51_790	spi screen reset finished.
debug	2025-08-03 21:43:51_794	spi screen init finished.
debug	2025-08-03 21:43:51_794	white screen start.
debug	2025-08-03 21:43:51_797	GPIO port 29 set to 1, result 0
debug	2025-08-03 21:43:51_863	white screen finished.
info	2025-08-03 21:43:51_863	ScreenThread start.
debug	2025-08-03 21:43:51_868	++++++++++ 2 inch screen init finished.
debug	2025-08-03 21:43:56_064	gpio port 27,  oldValue:0,  newValue:1
debug	2025-08-03 21:43:56_065	gpio port 12,  oldValue:0,  newValue:1
debug	2025-08-03 21:43:56_065	gpio port 30,  oldValue:0,  newValue:1
debug	2025-08-03 21:43:56_065	gpio port 22,  oldValue:0,  newValue:1
debug	2025-08-03 21:44:03_674	gpio port 30,  oldValue:1,  newValue:0
