important	2025-08-18 14:23:38_665	打开日志文件[/home/sunrise/xgo_demo/install/xgo_head/lib/xgo_head/log/log.txt], 级别为1:debug, 超过10485760字节将重建文件。
info	2025-08-18 14:23:38_666	version 20250801_1611
debug	2025-08-18 14:23:39_201	before battery init.
debug	2025-08-18 14:23:39_227	after battery init.
debug	2025-08-18 14:23:39_257	++++++++++ ROS2 Node init finished.
debug	2025-08-18 14:23:39_262	++++++++++ gpioKey init finished.
debug	2025-08-18 14:23:39_262	open spi
info	2025-08-18 14:23:39_263	open spi device: /dev/spidev1.0,  get fd: 25.
info	2025-08-18 14:23:39_263	set SPI_IOC_WR_MAX_SPEED_HZ of 25 to 20000000
info	2025-08-18 14:23:39_263	set SPI_IOC_WR_MODE32 of 25 to 0
info	2025-08-18 14:23:39_263	set SPI_IOC_WR_BITS_PER_WORD of 25 to 8
info	2025-08-18 14:23:39_263	read SPI_IOC_RD_MAX_SPEED_HZ of 25 to 20000000
debug	2025-08-18 14:23:39_263	read spi speed:20000000
info	2025-08-18 14:23:39_264	read SPI_IOC_RD_MODE32 of 25 to 0
debug	2025-08-18 14:23:39_264	read spi mode:0
info	2025-08-18 14:23:39_264	read SPI_IOC_RD_BITS_PER_WORD of 25 to 8
debug	2025-08-18 14:23:39_264	read spi bits per word:8
debug	2025-08-18 14:23:39_264	open reset
debug	2025-08-18 14:23:39_264	open dc
info	2025-08-18 14:23:39_759	opened gpio port 27 to read mode.
info	2025-08-18 14:23:39_759	opened gpio port 12 to read mode.
info	2025-08-18 14:23:39_759	opened gpio port 22 to read mode.
info	2025-08-18 14:23:39_759	opened gpio port 30 to read mode.
debug	2025-08-18 14:23:39_764	set gpio [reset] direction to out
debug	2025-08-18 14:23:39_765	set gpio [dc] direction to out
debug	2025-08-18 14:23:39_765	spi screen init start.
debug	2025-08-18 14:23:39_765	spi screen reset start.
debug	2025-08-18 14:23:39_825	spi screen reset finished.
debug	2025-08-18 14:23:39_829	spi screen init finished.
debug	2025-08-18 14:23:39_829	white screen start.
debug	2025-08-18 14:23:39_896	white screen finished.
info	2025-08-18 14:23:39_896	ScreenThread start.
debug	2025-08-18 14:23:39_927	++++++++++ 2 inch screen init finished.
debug	2025-08-18 14:23:40_220	gpio port 27,  oldValue:0,  newValue:1
debug	2025-08-18 14:23:40_221	gpio port 12,  oldValue:0,  newValue:1
debug	2025-08-18 14:23:40_221	gpio port 22,  oldValue:0,  newValue:1
debug	2025-08-18 14:23:40_221	gpio port 30,  oldValue:0,  newValue:1
debug	2025-08-18 14:23:42_004	gpio port 22,  oldValue:1,  newValue:0
debug	2025-08-18 14:23:42_465	gpio port 22,  oldValue:0,  newValue:1
debug	2025-08-18 14:23:47_986	receive a compressed Image, format is :jpeg,  size if :11479
debug	2025-08-18 14:23:47_999	0 hand to draw.
debug	2025-08-18 14:23:47_999	hand point too old  ,ignor. 
debug	2025-08-18 14:23:48_001	receive a gesture. 
debug	2025-08-18 14:23:48_002	total saved 0 hands.
debug	2025-08-18 14:23:48_002	receive a body
debug	2025-08-18 14:23:48_016	interval not reach, ignor.
debug	2025-08-18 14:23:48_016	receive a gesture. 
debug	2025-08-18 14:23:48_016	total saved 0 hands.
debug	2025-08-18 14:23:48_016	receive a body
debug	2025-08-18 14:23:48_046	interval not reach, ignor.
debug	2025-08-18 14:23:48_046	receive a gesture. 
debug	2025-08-18 14:23:48_047	total saved 0 hands.
debug	2025-08-18 14:23:48_047	receive a body
debug	2025-08-18 14:23:48_076	interval not reach, ignor.
debug	2025-08-18 14:23:48_077	receive a gesture. 
debug	2025-08-18 14:23:48_077	total saved 0 hands.
debug	2025-08-18 14:23:48_077	receive a body
debug	2025-08-18 14:23:48_107	receive a compressed Image, format is :jpeg,  size if :18368
debug	2025-08-18 14:23:48_118	0 hand to draw.
debug	2025-08-18 14:23:48_118	hand point too old  ,ignor. 
debug	2025-08-18 14:23:48_120	receive a gesture. 
debug	2025-08-18 14:23:48_120	total saved 0 hands.
debug	2025-08-18 14:23:48_121	receive a body
debug	2025-08-18 14:23:48_121	body points num  19 , save.
debug	2025-08-18 14:23:48_137	interval not reach, ignor.
debug	2025-08-18 14:23:48_138	receive a gesture. 
debug	2025-08-18 14:23:48_138	total saved 0 hands.
debug	2025-08-18 14:23:48_138	receive a body
debug	2025-08-18 14:23:48_139	body points num  19 , save.
debug	2025-08-18 14:23:48_167	interval not reach, ignor.
debug	2025-08-18 14:23:48_168	receive a gesture. 
debug	2025-08-18 14:23:48_168	total saved 0 hands.
debug	2025-08-18 14:23:48_169	receive a body
debug	2025-08-18 14:23:48_169	body points num  19 , save.
debug	2025-08-18 14:23:48_198	interval not reach, ignor.
debug	2025-08-18 14:23:48_198	receive a gesture. 
debug	2025-08-18 14:23:48_198	total saved 0 hands.
debug	2025-08-18 14:23:48_199	receive a body
debug	2025-08-18 14:23:48_199	body points num  19 , save.
debug	2025-08-18 14:23:48_228	receive a compressed Image, format is :jpeg,  size if :22207
debug	2025-08-18 14:23:48_238	0 hand to draw.
debug	2025-08-18 14:23:48_239	hand point too old  ,ignor. 
debug	2025-08-18 14:23:48_240	receive a gesture. 
debug	2025-08-18 14:23:48_240	total saved 0 hands.
debug	2025-08-18 14:23:48_240	receive a body
debug	2025-08-18 14:23:48_240	body points num  19 , save.
debug	2025-08-18 14:23:48_258	interval not reach, ignor.
debug	2025-08-18 14:23:48_289	interval not reach, ignor.
debug	2025-08-18 14:23:48_289	receive a gesture. 
debug	2025-08-18 14:23:48_289	total saved 0 hands.
debug	2025-08-18 14:23:48_289	receive a body
debug	2025-08-18 14:23:48_290	body points num  19 , save.
debug	2025-08-18 14:23:48_319	interval not reach, ignor.
debug	2025-08-18 14:23:48_319	receive a gesture. 
debug	2025-08-18 14:23:48_320	total saved 0 hands.
debug	2025-08-18 14:23:48_320	receive a body
debug	2025-08-18 14:23:48_320	body points num  19 , save.
debug	2025-08-18 14:23:48_349	receive a compressed Image, format is :jpeg,  size if :22521
debug	2025-08-18 14:23:48_359	0 hand to draw.
debug	2025-08-18 14:23:48_359	hand point too old  ,ignor. 
debug	2025-08-18 14:23:48_363	receive a gesture. 
debug	2025-08-18 14:23:48_363	total saved 0 hands.
debug	2025-08-18 14:23:48_363	receive a body
debug	2025-08-18 14:23:48_364	body points num  19 , save.
debug	2025-08-18 14:23:48_379	interval not reach, ignor.
debug	2025-08-18 14:23:48_380	receive a gesture. 
debug	2025-08-18 14:23:48_380	total saved 0 hands.
debug	2025-08-18 14:23:48_381	receive a body
debug	2025-08-18 14:23:48_381	body points num  19 , save.
debug	2025-08-18 14:23:48_410	interval not reach, ignor.
debug	2025-08-18 14:23:48_412	receive a gesture. 
debug	2025-08-18 14:23:48_412	total saved 0 hands.
debug	2025-08-18 14:23:48_412	receive a body
debug	2025-08-18 14:23:48_413	body points num  19 , save.
debug	2025-08-18 14:23:48_440	interval not reach, ignor.
debug	2025-08-18 14:23:48_441	receive a gesture. 
debug	2025-08-18 14:23:48_441	total saved 0 hands.
debug	2025-08-18 14:23:48_442	receive a body
debug	2025-08-18 14:23:48_442	body points num  19 , save.
debug	2025-08-18 14:23:48_470	receive a compressed Image, format is :jpeg,  size if :22407
debug	2025-08-18 14:23:48_480	0 hand to draw.
debug	2025-08-18 14:23:48_481	hand point too old  ,ignor. 
debug	2025-08-18 14:23:48_482	receive a gesture. 
debug	2025-08-18 14:23:48_482	total saved 0 hands.
debug	2025-08-18 14:23:48_482	receive a body
debug	2025-08-18 14:23:48_483	body points num  19 , save.
debug	2025-08-18 14:23:48_501	interval not reach, ignor.
debug	2025-08-18 14:23:48_501	receive a gesture. 
debug	2025-08-18 14:23:48_501	total saved 0 hands.
debug	2025-08-18 14:23:48_502	receive a body
debug	2025-08-18 14:23:48_502	body points num  19 , save.
debug	2025-08-18 14:23:48_531	interval not reach, ignor.
debug	2025-08-18 14:23:48_531	receive a gesture. 
debug	2025-08-18 14:23:48_532	total saved 0 hands.
debug	2025-08-18 14:23:48_532	receive a body
debug	2025-08-18 14:23:48_533	body points num  19 , save.
debug	2025-08-18 14:23:48_561	interval not reach, ignor.
debug	2025-08-18 14:23:48_562	receive a gesture. 
debug	2025-08-18 14:23:48_562	total saved 0 hands.
debug	2025-08-18 14:23:48_562	receive a body
debug	2025-08-18 14:23:48_562	body points num  19 , save.
debug	2025-08-18 14:23:48_591	receive a compressed Image, format is :jpeg,  size if :22463
debug	2025-08-18 14:23:48_601	0 hand to draw.
debug	2025-08-18 14:23:48_603	hand point too old  ,ignor. 
debug	2025-08-18 14:23:48_604	receive a gesture. 
debug	2025-08-18 14:23:48_605	total saved 0 hands.
debug	2025-08-18 14:23:48_606	receive a body
debug	2025-08-18 14:23:48_606	body points num  19 , save.
debug	2025-08-18 14:23:48_622	interval not reach, ignor.
debug	2025-08-18 14:23:48_622	receive a gesture. 
debug	2025-08-18 14:23:48_623	total saved 0 hands.
debug	2025-08-18 14:23:48_623	receive a body
debug	2025-08-18 14:23:48_623	body points num  19 , save.
debug	2025-08-18 14:23:48_652	interval not reach, ignor.
debug	2025-08-18 14:23:48_653	receive a gesture. 
debug	2025-08-18 14:23:48_653	total saved 0 hands.
debug	2025-08-18 14:23:48_653	receive a body
debug	2025-08-18 14:23:48_654	body points num  19 , save.
debug	2025-08-18 14:23:48_682	interval not reach, ignor.
debug	2025-08-18 14:23:48_683	receive a gesture. 
debug	2025-08-18 14:23:48_683	total saved 0 hands.
debug	2025-08-18 14:23:48_683	receive a body
debug	2025-08-18 14:23:48_684	body points num  19 , save.
debug	2025-08-18 14:23:48_713	receive a compressed Image, format is :jpeg,  size if :22690
debug	2025-08-18 14:23:48_724	0 hand to draw.
debug	2025-08-18 14:23:48_724	hand point too old  ,ignor. 
debug	2025-08-18 14:23:48_725	receive a gesture. 
debug	2025-08-18 14:23:48_726	total saved 0 hands.
debug	2025-08-18 14:23:48_726	receive a body
debug	2025-08-18 14:23:48_726	body points num  19 , save.
debug	2025-08-18 14:23:48_744	interval not reach, ignor.
debug	2025-08-18 14:23:48_745	receive a gesture. 
debug	2025-08-18 14:23:48_745	total saved 0 hands.
debug	2025-08-18 14:23:48_746	receive a body
debug	2025-08-18 14:23:48_746	body points num  19 , save.
debug	2025-08-18 14:23:48_774	interval not reach, ignor.
debug	2025-08-18 14:23:48_774	receive a gesture. 
debug	2025-08-18 14:23:48_775	total saved 0 hands.
debug	2025-08-18 14:23:48_775	receive a hand
debug	2025-08-18 14:23:48_775	receive a body
debug	2025-08-18 14:23:48_775	body points num  19 , save.
debug	2025-08-18 14:23:48_804	interval not reach, ignor.
debug	2025-08-18 14:23:48_804	receive a gesture. 
debug	2025-08-18 14:23:48_804	total saved 0 hands.
debug	2025-08-18 14:23:48_805	receive a hand
debug	2025-08-18 14:23:48_805	receive a body
debug	2025-08-18 14:23:48_806	body points num  19 , save.
